Time,Altitude,Position East of launch,Position North of launch
1.770000000,183.046000000,1.780000000,2.849000000
1.812000000,190.567000000,1.777000000,2.847000000
1.837000000,195.009000000,1.773000000,2.844000000
1.863000000,199.752000000,1.767000000,2.838000000
1.899000000,206.227000000,1.758000000,2.828000000
1.934000000,212.474000000,1.750000000,2.817000000
1.961000000,217.424000000,1.746000000,2.810000000
1.989000000,222.412000000,1.742000000,2.804000000
2.030000000,229.900000000,1.735000000,2.795000000
2.039000000,231.482000000,1.733000000,2.792000000
2.052000000,233.856000000,1.730000000,2.788000000
2.072000000,237.416000000,1.724000000,2.781000000
2.101000000,242.699000000,1.715000000,2.769000000
2.145000000,250.616000000,1.702000000,2.752000000
2.177000000,256.464000000,1.694000000,2.740000000
2.225000000,265.041000000,1.684000000,2.725000000
2.275000000,274.018000000,1.672000000,2.709000000
2.317000000,281.603000000,1.660000000,2.694000000
2.367000000,290.502000000,1.648000000,2.679000000
2.417000000,299.357000000,1.637000000,2.664000000
2.467000000,308.166000000,1.627000000,2.650000000
2.500000000,313.955000000,1.620000000,2.641000000
2.550000000,322.722000000,1.606000000,2.625000000
2.600000000,331.948000000,1.585000000,2.592000000
2.650000000,341.537000000,1.555000000,2.544000000
2.700000000,351.461000000,1.518000000,2.481000000
2.750000000,361.711000000,1.472000000,2.405000000
2.799000000,372.279000000,1.420000000,2.317000000
2.847000000,382.567000000,1.363000000,2.219000000
2.897000000,393.741000000,1.296000000,2.105000000
2.922000000,399.592000000,1.260000000,2.043000000
2.961000000,408.513000000,1.203000000,1.946000000
2.994000000,416.330000000,1.150000000,1.854000000
3.025000000,423.642000000,1.097000000,1.763000000
3.070000000,434.799000000,1.012000000,1.618000000
3.105000000,443.350000000,0.946000000,1.504000000
3.155000000,455.950000000,0.846000000,1.331000000
3.205000000,468.798000000,0.738000000,1.146000000
3.255000000,481.888000000,0.624000000,0.950000000
3.305000000,495.217000000,0.505000000,0.745000000
3.355000000,508.781000000,0.378000000,0.527000000
3.405000000,522.577000000,0.245000000,0.300000000
3.455000000,536.603000000,0.106000000,0.062000000
3.505000000,550.853000000,-0.040000000,-0.189000000
3.555000000,565.324000000,-0.192000000,-0.449000000
3.597000000,577.646000000,-0.327000000,-0.679000000
3.647000000,592.511000000,-0.492000000,-0.959000000
3.677000000,601.669000000,-0.596000000,-1.137000000
3.719000000,614.221000000,-0.743000000,-1.385000000
3.742000000,621.345000000,-0.826000000,-1.526000000
3.777000000,632.110000000,-0.953000000,-1.742000000
3.809000000,642.051000000,-1.074000000,-1.946000000
3.857000000,657.103000000,-1.257000000,-2.256000000
3.883000000,665.323000000,-1.360000000,-2.429000000
3.922000000,677.727000000,-1.516000000,-2.691000000
3.965000000,691.418000000,-1.689000000,-2.983000000
3.992000000,700.333000000,-1.804000000,-3.176000000
4.034000000,713.754000000,-1.977000000,-3.467000000
4.084000000,729.963000000,-2.188000000,-3.822000000
4.110000000,738.498000000,-2.301000000,-4.010000000
4.150000000,751.317000000,-2.469000000,-4.292000000
4.200000000,767.596000000,-2.687000000,-4.656000000
4.212000000,771.626000000,-2.740000000,-4.745000000
4.230000000,777.671000000,-2.820000000,-4.878000000
4.242000000,781.490000000,-2.870000000,-4.963000000
4.256000000,785.858000000,-2.929000000,-5.061000000
4.276000000,792.408000000,-3.017000000,-5.208000000
4.290000000,797.066000000,-3.079000000,-5.312000000
4.308000000,802.757000000,-3.154000000,-5.437000000
4.334000000,811.284000000,-3.267000000,-5.627000000
4.360000000,819.784000000,-3.381000000,-5.816000000
4.399000000,832.506000000,-3.551000000,-6.100000000
4.449000000,848.609000000,-3.765000000,-6.457000000
4.479000000,858.183000000,-3.892000000,-6.670000000
4.524000000,872.482000000,-4.081000000,-6.986000000
4.567000000,885.972000000,-4.260000000,-7.284000000
4.617000000,901.755000000,-4.467000000,-7.630000000
4.667000000,917.415000000,-4.671000000,-7.972000000
4.717000000,932.939000000,-4.871000000,-8.307000000
4.767000000,948.320000000,-5.067000000,-8.637000000
4.817000000,963.557000000,-5.259000000,-8.959000000
4.846000000,972.342000000,-5.369000000,-9.144000000
4.889000000,985.429000000,-5.531000000,-9.418000000
4.939000000,1000.315000000,-5.714000000,-9.726000000
4.989000000,1015.064000000,-5.893000000,-10.027000000
5.000000000,1018.250000000,-5.931000000,-10.092000000
5.016000000,1023.016000000,-5.988000000,-10.189000000
5.041000000,1030.140000000,-6.073000000,-10.333000000
5.077000000,1040.767000000,-6.199000000,-10.547000000
5.127000000,1055.154000000,-6.368000000,-10.833000000
5.177000000,1069.417000000,-6.533000000,-11.114000000
5.227000000,1083.558000000,-6.695000000,-11.390000000
5.264000000,1093.811000000,-6.810000000,-11.587000000
5.308000000,1106.127000000,-6.949000000,-11.823000000
5.358000000,1119.964000000,-7.102000000,-12.087000000
5.408000000,1133.689000000,-7.252000000,-12.344000000
5.458000000,1147.304000000,-7.398000000,-12.596000000
5.508000000,1160.812000000,-7.542000000,-12.844000000
5.558000000,1174.215000000,-7.683000000,-13.088000000
5.608000000,1187.515000000,-7.821000000,-13.327000000
5.658000000,1200.713000000,-7.955000000,-13.561000000
5.708000000,1213.812000000,-8.087000000,-13.791000000
5.758000000,1226.813000000,-8.216000000,-14.017000000
5.808000000,1239.718000000,-8.342000000,-14.238000000
5.858000000,1252.529000000,-8.466000000,-14.456000000
5.908000000,1265.246000000,-8.587000000,-14.669000000
5.958000000,1277.872000000,-8.705000000,-14.878000000
6.008000000,1290.408000000,-8.821000000,-15.083000000
6.058000000,1302.855000000,-8.934000000,-15.284000000
6.108000000,1315.215000000,-9.044000000,-15.481000000
6.158000000,1327.488000000,-9.152000000,-15.675000000
6.208000000,1339.677000000,-9.258000000,-15.864000000
6.258000000,1351.782000000,-9.360000000,-16.049000000
6.308000000,1363.805000000,-9.462000000,-16.232000000
6.358000000,1375.746000000,-9.560000000,-16.411000000
6.408000000,1387.607000000,-9.656000000,-16.585000000
6.458000000,1399.389000000,-9.750000000,-16.757000000
6.508000000,1411.092000000,-9.843000000,-16.926000000
6.558000000,1422.719000000,-9.933000000,-17.091000000
6.608000000,1434.269000000,-10.020000000,-17.253000000
6.658000000,1445.743000000,-10.106000000,-17.411000000
6.708000000,1457.144000000,-10.189000000,-17.565000000
6.758000000,1468.471000000,-10.271000000,-17.717000000
6.808000000,1479.725000000,-10.350000000,-17.865000000
6.858000000,1490.907000000,-10.427000000,-18.010000000
6.908000000,1502.019000000,-10.503000000,-18.152000000
6.958000000,1513.060000000,-10.577000000,-18.291000000
7.008000000,1524.032000000,-10.649000000,-18.428000000
7.058000000,1534.935000000,-10.720000000,-18.561000000
7.108000000,1545.770000000,-10.788000000,-18.691000000
7.158000000,1556.538000000,-10.855000000,-18.819000000
7.208000000,1567.239000000,-10.920000000,-18.944000000
7.258000000,1577.875000000,-10.984000000,-19.066000000
7.308000000,1588.445000000,-11.045000000,-19.184000000
7.358000000,1598.951000000,-11.104000000,-19.299000000
7.408000000,1609.393000000,-11.164000000,-19.414000000
7.458000000,1619.771000000,-11.221000000,-19.525000000
7.508000000,1630.087000000,-11.276000000,-19.633000000
7.558000000,1640.341000000,-11.330000000,-19.739000000
7.608000000,1650.534000000,-11.383000000,-19.842000000
7.658000000,1660.665000000,-11.433000000,-19.942000000
7.708000000,1670.737000000,-11.483000000,-20.041000000
7.758000000,1680.748000000,-11.532000000,-20.137000000
7.808000000,1690.700000000,-11.578000000,-20.230000000
7.858000000,1700.594000000,-11.623000000,-20.319000000
7.908000000,1710.429000000,-11.666000000,-20.406000000
7.958000000,1720.207000000,-11.709000000,-20.492000000
8.008000000,1729.927000000,-11.750000000,-20.576000000
8.058000000,1739.591000000,-11.790000000,-20.655000000
8.108000000,1749.198000000,-11.827000000,-20.732000000
8.148000000,1756.905000000,-11.858000000,-20.795000000
8.198000000,1766.412000000,-11.896000000,-20.871000000
8.241000000,1774.562000000,-11.926000000,-20.933000000
8.291000000,1783.966000000,-11.960000000,-21.002000000
8.341000000,1793.317000000,-11.993000000,-21.072000000
8.391000000,1802.614000000,-12.026000000,-21.139000000
8.441000000,1811.857000000,-12.057000000,-21.203000000
8.491000000,1821.048000000,-12.086000000,-21.263000000
8.541000000,1830.186000000,-12.113000000,-21.321000000
8.591000000,1839.272000000,-12.141000000,-21.379000000
8.641000000,1848.306000000,-12.168000000,-21.436000000
8.691000000,1857.289000000,-12.194000000,-21.489000000
8.741000000,1866.221000000,-12.218000000,-21.540000000
8.791000000,1875.102000000,-12.241000000,-21.590000000
8.841000000,1883.933000000,-12.264000000,-21.637000000
8.891000000,1892.714000000,-12.285000000,-21.684000000
8.941000000,1901.446000000,-12.307000000,-21.729000000
8.991000000,1910.128000000,-12.327000000,-21.772000000
9.041000000,1918.762000000,-12.345000000,-21.810000000
9.091000000,1927.347000000,-12.362000000,-21.847000000
9.141000000,1935.884000000,-12.379000000,-21.884000000
9.191000000,1944.373000000,-12.396000000,-21.921000000
9.241000000,1952.814000000,-12.413000000,-21.956000000
9.290000000,1960.971000000,-12.426000000,-21.985000000
9.331000000,1967.756000000,-12.436000000,-22.006000000
9.381000000,1976.067000000,-12.447000000,-22.031000000
9.409000000,1980.707000000,-12.454000000,-22.047000000
9.438000000,1985.535000000,-12.462000000,-22.064000000
9.482000000,1992.746000000,-12.474000000,-22.089000000
9.523000000,1999.520000000,-12.483000000,-22.110000000
