Time,Altitude,Position East of launch,Position North of launch
1.934000000,212.609000000,1.796000000,2.881000000
1.962000000,217.752000000,1.792000000,2.875000000
1.988000000,222.299000000,1.789000000,2.870000000
2.025000000,229.124000000,1.785000000,2.864000000
2.039000000,231.630000000,1.783000000,2.861000000
2.060000000,235.388000000,1.778000000,2.856000000
2.083000000,239.554000000,1.773000000,2.849000000
2.117000000,245.800000000,1.764000000,2.837000000
2.167000000,254.848000000,1.752000000,2.820000000
2.177000000,256.627000000,1.750000000,2.817000000
2.192000000,259.293000000,1.747000000,2.813000000
2.214000000,263.287000000,1.743000000,2.807000000
2.247000000,269.266000000,1.737000000,2.799000000
2.297000000,278.202000000,1.727000000,2.785000000
2.317000000,281.780000000,1.723000000,2.780000000
2.347000000,287.134000000,1.716000000,2.772000000
2.392000000,295.134000000,1.707000000,2.761000000
2.442000000,303.971000000,1.699000000,2.749000000
2.492000000,312.763000000,1.690000000,2.738000000
2.500000000,314.153000000,1.689000000,2.737000000
2.512000000,316.237000000,1.687000000,2.735000000
2.530000000,319.381000000,1.683000000,2.730000000
2.556000000,324.185000000,1.676000000,2.720000000
2.597000000,331.606000000,1.660000000,2.697000000
2.647000000,341.175000000,1.633000000,2.652000000
2.697000000,351.081000000,1.598000000,2.593000000
2.747000000,361.313000000,1.556000000,2.521000000
2.797000000,371.865000000,1.506000000,2.437000000
2.844000000,382.119000000,1.452000000,2.344000000
2.894000000,393.276000000,1.388000000,2.234000000
2.919000000,398.919000000,1.355000000,2.176000000
2.955000000,407.345000000,1.304000000,2.088000000
3.000000000,417.841000000,1.234000000,1.968000000
3.035000000,426.230000000,1.175000000,1.866000000
3.085000000,438.469000000,1.085000000,1.709000000
3.121000000,447.580000000,1.016000000,1.589000000
3.171000000,460.263000000,0.916000000,1.417000000
3.221000000,473.192000000,0.810000000,1.232000000
3.271000000,486.362000000,0.697000000,1.038000000
3.321000000,499.770000000,0.579000000,0.834000000
3.371000000,513.412000000,0.453000000,0.617000000
3.421000000,527.286000000,0.322000000,0.391000000
3.471000000,541.388000000,0.184000000,0.154000000
3.521000000,555.713000000,0.039000000,-0.095000000
3.564000000,568.263000000,-0.091000000,-0.318000000
3.588000000,575.235000000,-0.165000000,-0.445000000
3.610000000,581.805000000,-0.237000000,-0.568000000
3.639000000,590.373000000,-0.331000000,-0.728000000
3.652000000,594.391000000,-0.374000000,-0.803000000
3.673000000,600.446000000,-0.441000000,-0.916000000
3.685000000,604.096000000,-0.482000000,-0.986000000
3.695000000,607.084000000,-0.516000000,-1.043000000
3.707000000,610.816000000,-0.559000000,-1.117000000
3.725000000,616.435000000,-0.624000000,-1.228000000
3.736000000,619.857000000,-0.663000000,-1.295000000
3.746000000,622.783000000,-0.697000000,-1.352000000
3.758000000,626.446000000,-0.739000000,-1.424000000
3.776000000,631.962000000,-0.803000000,-1.531000000
3.789000000,636.180000000,-0.852000000,-1.615000000
3.800000000,639.623000000,-0.893000000,-1.685000000
3.817000000,644.717000000,-0.954000000,-1.789000000
3.841000000,652.395000000,-1.047000000,-1.945000000
3.854000000,656.446000000,-1.095000000,-2.028000000
3.873000000,662.542000000,-1.168000000,-2.152000000
3.891000000,668.308000000,-1.239000000,-2.271000000
3.906000000,672.882000000,-1.295000000,-2.366000000
3.927000000,679.762000000,-1.381000000,-2.511000000
3.942000000,684.300000000,-1.437000000,-2.606000000
