Time,Altitude,Position East of launch,Position North of launch,Latitude,Longitude
42.438,1405.286,3.061,30.395,28.562,-80.577
42.488,1397.947,3.191,30.657,28.562,-80.577
42.538,1390.598,3.322,30.921,28.562,-80.577
42.588,1383.238,3.453,31.187,28.562,-80.577
42.638,1375.869,3.586,31.453,28.562,-80.577
42.688,1368.489,3.719,31.72,28.562,-80.577
42.738,1361.099,3.852,31.988,28.562,-80.577
42.788,1353.698,3.987,32.256,28.562,-80.577
42.838,1346.288,4.122,32.525,28.562,-80.577
42.888,1338.868,4.257,32.794,28.562,-80.577
42.938,1331.438,4.393,33.063,28.562,-80.577
42.988,1323.998,4.529,33.333,28.562,-80.577
43.038,1316.548,4.665,33.602,28.562,-80.577
43.088,1309.089,4.801,33.871,28.562,-80.577
43.138,1301.62,4.938,34.142,28.562,-80.577
43.188,1294.141,5.076,34.414,28.562,-80.577
43.238,1286.652,5.215,34.688,28.562,-80.577
43.288,1279.154,5.356,34.963,28.562,-80.577
43.338,1271.646,5.497,35.239,28.562,-80.577
43.388,1264.129,5.639,35.514,28.562,-80.577
43.438,1256.602,5.78,35.789,28.562,-80.577
43.488,1249.066,5.921,36.063,28.562,-80.577
43.538,1241.521,6.062,36.339,28.562,-80.577
43.588,1233.967,6.205,36.615,28.562,-80.577
43.638,1226.403,6.348,36.892,28.562,-80.577
43.688,1218.83,6.492,37.171,28.562,-80.577
43.738,1211.248,6.638,37.45,28.562,-80.577
43.788,1203.657,6.784,37.731,28.562,-80.577
43.838,1196.056,6.93,38.012,28.562,-80.577
43.888,1188.447,7.077,38.293,28.562,-80.577
43.938,1180.829,7.224,38.574,28.562,-80.577
43.988,1173.203,7.37,38.853,28.562,-80.577
44.038,1165.567,7.517,39.133,28.562,-80.577
44.088,1157.923,7.664,39.414,28.562,-80.577
44.138,1150.269,7.813,39.697,28.562,-80.577
44.188,1142.607,7.963,39.981,28.562,-80.577
44.238,1134.937,8.114,40.267,28.562,-80.577
44.288,1127.258,8.267,40.554,28.562,-80.577
44.338,1119.57,8.419,40.841,28.562,-80.577
44.388,1111.874,8.571,41.127,28.562,-80.577
44.438,1104.169,8.723,41.412,28.562,-80.577
44.488,1096.457,8.874,41.696,28.562,-80.577
44.538,1088.736,9.025,41.981,28.562,-80.577
44.588,1081.006,9.178,42.267,28.562,-80.577
44.638,1073.268,9.332,42.555,28.562,-80.577
44.688,1065.522,9.488,42.845,28.562,-80.577
44.738,1057.768,9.645,43.137,28.562,-80.577
44.788,1050.006,9.803,43.429,28.562,-80.577
44.838,1042.236,9.96,43.72,28.562,-80.577
44.888,1034.458,10.117,44.011,28.562,-80.577
44.938,1026.672,10.274,44.302,28.562,-80.577
44.988,1018.878,10.432,44.593,28.563,-80.577
45.038,1011.076,10.589,44.884,28.563,-80.577
45.088,1003.266,10.748,45.177,28.563,-80.577
45.138,995.449,10.908,45.47,28.563,-80.577
45.188,987.623,11.067,45.763,28.563,-80.577
45.238,979.791,11.227,46.057,28.563,-80.577
45.288,971.95,11.387,46.35,28.563,-80.577
45.338,964.102,11.548,46.643,28.563,-80.577
45.388,956.247,11.709,46.938,28.563,-80.577
45.438,948.384,11.871,47.234,28.563,-80.577
45.488,940.513,12.034,47.531,28.563,-80.577
45.538,932.635,12.198,47.829,28.563,-80.577
45.588,924.75,12.363,48.129,28.563,-80.577
45.638,916.857,12.528,48.427,28.563,-80.577
45.688,908.957,12.692,48.725,28.563,-80.577
45.738,901.05,12.856,49.022,28.563,-80.577
45.788,893.136,13.02,49.318,28.563,-80.577
45.838,885.215,13.184,49.615,28.563,-80.577
45.888,877.287,13.349,49.914,28.563,-80.577
45.938,869.352,13.516,50.215,28.563,-80.577
45.988,861.409,13.684,50.517,28.563,-80.577
46,859.489,13.725,50.59,28.563,-80.577
46.05,851.643,13.896,50.895,28.563,-80.577
46.1,843.991,14.069,51.202,28.563,-80.577
46.139,838.101,14.205,51.442,28.563,-80.577
46.164,834.522,14.289,51.589,28.563,-80.577
46.182,831.893,14.35,51.696,28.563,-80.577
46.197,829.71,14.4,51.785,28.563,-80.577
46.209,827.88,14.442,51.859,28.563,-80.577
46.22,826.372,14.477,51.92,28.563,-80.577
46.229,825.075,14.506,51.971,28.563,-80.577
46.237,823.945,14.531,52.016,28.563,-80.577
46.244,822.941,14.553,52.055,28.563,-80.577
46.25,822.043,14.573,52.09,28.563,-80.577
46.256,821.223,14.59,52.121,28.563,-80.577
46.262,820.468,14.606,52.149,28.563,-80.577
46.267,819.764,14.621,52.176,28.563,-80.577
46.271,819.11,14.635,52.2,28.563,-80.577
46.276,818.502,14.647,52.222,28.563,-80.577
46.28,817.928,14.658,52.243,28.563,-80.577
46.284,817.387,14.669,52.262,28.563,-80.577
46.287,816.876,14.679,52.28,28.563,-80.577
46.291,816.396,14.688,52.296,28.563,-80.577
46.294,815.937,14.697,52.312,28.563,-80.577
46.297,815.501,14.705,52.327,28.563,-80.577
46.3,815.086,14.712,52.341,28.563,-80.577
46.303,814.692,14.719,52.354,28.563,-80.577
46.306,814.314,14.726,52.366,28.563,-80.577
46.309,813.952,14.732,52.377,28.563,-80.577
46.311,813.605,14.738,52.388,28.563,-80.577
46.314,813.264,14.744,52.399,28.563,-80.577
46.316,812.923,14.749,52.409,28.563,-80.577
46.319,812.583,14.755,52.419,28.563,-80.577
46.321,812.243,14.76,52.429,28.563,-80.577
46.324,811.904,14.765,52.439,28.563,-80.577
46.326,811.565,14.77,52.448,28.563,-80.577
46.329,811.226,14.775,52.458,28.563,-80.577
46.331,810.889,14.78,52.467,28.563,-80.577
46.334,810.551,14.784,52.476,28.563,-80.577
46.336,810.215,14.789,52.484,28.563,-80.577
46.339,809.878,14.793,52.493,28.563,-80.577
46.341,809.543,14.797,52.501,28.563,-80.577
46.344,809.208,14.801,52.508,28.563,-80.577
46.346,808.873,14.804,52.516,28.563,-80.577
46.349,808.539,14.808,52.523,28.563,-80.577
46.351,808.206,14.811,52.53,28.563,-80.577
46.354,807.873,14.814,52.537,28.563,-80.577
46.356,807.541,14.817,52.543,28.563,-80.577
46.359,807.209,14.819,52.549,28.563,-80.577
46.361,806.878,14.822,52.554,28.563,-80.577
46.364,806.548,14.824,52.559,28.563,-80.577
46.366,806.218,14.826,52.564,28.563,-80.577
46.369,805.889,14.827,52.568,28.563,-80.577
46.371,805.561,14.828,52.572,28.563,-80.577
46.374,805.234,14.829,52.576,28.563,-80.577
46.376,804.907,14.83,52.579,28.563,-80.577
46.379,804.581,14.83,52.581,28.563,-80.577
46.381,804.255,14.83,52.583,28.563,-80.577
46.384,803.931,14.83,52.585,28.563,-80.577
46.386,803.607,14.829,52.586,28.563,-80.577
46.389,803.284,14.828,52.586,28.563,-80.577
46.391,802.962,14.827,52.586,28.563,-80.577
46.394,802.64,14.825,52.585,28.563,-80.577
46.396,802.32,14.823,52.584,28.563,-80.577
46.399,802,14.82,52.583,28.563,-80.577
46.401,801.681,14.818,52.58,28.563,-80.577
46.404,801.363,14.814,52.578,28.563,-80.577
46.406,801.046,14.811,52.574,28.563,-80.577
46.409,800.73,14.807,52.57,28.563,-80.577
46.411,800.415,14.802,52.566,28.563,-80.577
46.414,800.101,14.798,52.561,28.563,-80.577
46.416,799.788,14.792,52.555,28.563,-80.577
46.419,799.476,14.787,52.548,28.563,-80.577
46.421,799.165,14.781,52.541,28.563,-80.577
46.424,798.855,14.774,52.534,28.563,-80.577
46.426,798.546,14.767,52.525,28.563,-80.577
46.429,798.239,14.76,52.516,28.563,-80.577
46.431,797.933,14.752,52.506,28.563,-80.577
46.434,797.628,14.744,52.496,28.563,-80.577
46.436,797.324,14.735,52.485,28.563,-80.577
46.439,797.021,14.726,52.473,28.563,-80.577
46.441,796.721,14.716,52.461,28.563,-80.577
46.444,796.421,14.706,52.447,28.563,-80.577
46.446,796.123,14.695,52.433,28.563,-80.577
46.449,795.827,14.684,52.419,28.563,-80.577
46.451,795.532,14.673,52.404,28.563,-80.577
46.454,795.239,14.661,52.388,28.563,-80.577
46.456,794.947,14.648,52.371,28.563,-80.577
46.459,794.658,14.636,52.354,28.563,-80.577
46.461,794.37,14.622,52.336,28.563,-80.577
46.464,794.084,14.609,52.318,28.563,-80.577
46.466,793.8,14.595,52.299,28.563,-80.577
46.469,793.518,14.581,52.279,28.563,-80.577
46.471,793.238,14.566,52.26,28.563,-80.577
46.474,792.96,14.551,52.239,28.563,-80.577
46.476,792.685,14.536,52.219,28.563,-80.577
46.479,792.411,14.521,52.198,28.563,-80.577
46.481,792.139,14.506,52.177,28.563,-80.577
46.484,791.87,14.49,52.156,28.563,-80.577
46.486,791.602,14.475,52.134,28.563,-80.577
46.49,791.246,14.454,52.105,28.563,-80.577
46.493,790.874,14.432,52.075,28.563,-80.577
46.497,790.507,14.41,52.045,28.563,-80.577
46.5,790.143,14.389,52.015,28.563,-80.577
46.504,789.783,14.368,51.986,28.563,-80.577
46.506,789.533,14.353,51.966,28.563,-80.577
46.509,789.284,14.339,51.947,28.563,-80.577
46.511,789.037,14.325,51.928,28.563,-80.577
46.514,788.793,14.312,51.91,28.563,-80.577
46.516,788.549,14.299,51.892,28.563,-80.577
46.519,788.308,14.286,51.875,28.563,-80.577
46.521,788.068,14.274,51.858,28.563,-80.577
46.524,787.83,14.263,51.842,28.563,-80.577
46.526,787.593,14.251,51.827,28.563,-80.577
46.529,787.357,14.241,51.812,28.563,-80.577
46.531,787.123,14.23,51.799,28.563,-80.577
46.534,786.889,14.221,51.786,28.563,-80.577
46.536,786.657,14.211,51.773,28.563,-80.577
46.539,786.426,14.203,51.762,28.563,-80.577
46.541,786.196,14.194,51.751,28.563,-80.577
46.544,785.967,14.186,51.74,28.563,-80.577
46.546,785.739,14.179,51.731,28.563,-80.577
46.549,785.512,14.172,51.722,28.563,-80.577
46.551,785.285,14.166,51.714,28.563,-80.577
46.554,785.06,14.16,51.706,28.563,-80.577
46.556,784.834,14.154,51.699,28.563,-80.577
46.559,784.61,14.149,51.693,28.563,-80.577
46.561,784.386,14.144,51.687,28.563,-80.577
46.564,784.163,14.14,51.682,28.563,-80.577
46.566,783.94,14.136,51.677,28.563,-80.577
46.569,783.718,14.132,51.673,28.563,-80.577
46.571,783.496,14.129,51.669,28.563,-80.577
46.574,783.274,14.126,51.666,28.563,-80.577
46.576,783.053,14.123,51.663,28.563,-80.577
46.579,782.833,14.12,51.661,28.563,-80.577
46.581,782.613,14.118,51.659,28.563,-80.577
46.584,782.393,14.116,51.658,28.563,-80.577
46.586,782.173,14.115,51.657,28.563,-80.577
46.589,781.954,14.114,51.656,28.563,-80.577
46.591,781.736,14.112,51.656,28.563,-80.577
46.594,781.517,14.112,51.656,28.563,-80.577
46.596,781.299,14.111,51.656,28.563,-80.577
46.599,781.081,14.111,51.657,28.563,-80.577
46.601,780.863,14.111,51.658,28.563,-80.577
46.604,780.646,14.111,51.659,28.563,-80.577
46.606,780.429,14.111,51.661,28.563,-80.577
46.609,780.212,14.111,51.663,28.563,-80.577
46.611,779.995,14.112,51.665,28.563,-80.577
46.614,779.779,14.113,51.668,28.563,-80.577
46.616,779.563,14.114,51.67,28.563,-80.577
46.619,779.347,14.115,51.673,28.563,-80.577
46.621,779.131,14.116,51.677,28.563,-80.577
46.624,778.915,14.118,51.68,28.563,-80.577
46.626,778.7,14.12,51.684,28.563,-80.577
46.629,778.485,14.121,51.688,28.563,-80.577
46.631,778.27,14.123,51.692,28.563,-80.577
46.634,778.055,14.125,51.697,28.563,-80.577
46.636,777.84,14.128,51.701,28.563,-80.577
46.639,777.626,14.13,51.706,28.563,-80.577
46.641,777.411,14.133,51.711,28.563,-80.577
46.644,777.197,14.136,51.717,28.563,-80.577
46.646,776.983,14.138,51.722,28.563,-80.577
46.649,776.769,14.142,51.728,28.563,-80.577
46.651,776.556,14.145,51.734,28.563,-80.577
46.654,776.342,14.148,51.74,28.563,-80.577
46.656,776.129,14.151,51.747,28.563,-80.577
46.659,775.915,14.155,51.753,28.563,-80.577
46.661,775.702,14.159,51.76,28.563,-80.577
46.664,775.489,14.163,51.767,28.563,-80.577
46.666,775.276,14.167,51.774,28.563,-80.577
46.669,775.063,14.171,51.782,28.563,-80.577
46.671,774.847,14.175,51.789,28.563,-80.577
46.674,774.621,14.18,51.798,28.563,-80.577
46.677,774.383,14.185,51.807,28.563,-80.577
46.68,774.132,14.19,51.816,28.563,-80.577
46.683,773.865,14.197,51.827,28.563,-80.577
46.686,773.58,14.203,51.839,28.563,-80.577
46.69,773.267,14.211,51.852,28.563,-80.577
46.692,773.055,14.216,51.861,28.563,-80.577
46.695,772.843,14.221,51.87,28.563,-80.577
46.697,772.631,14.225,51.879,28.563,-80.577
46.7,772.419,14.23,51.887,28.563,-80.577
46.702,772.208,14.235,51.896,28.563,-80.577
46.705,771.996,14.239,51.904,28.563,-80.577
46.707,771.785,14.243,51.912,28.563,-80.577
46.71,771.574,14.247,51.92,28.563,-80.577
46.712,771.363,14.251,51.928,28.563,-80.577
46.715,771.152,14.255,51.935,28.563,-80.577
46.717,770.941,14.259,51.942,28.563,-80.577
46.72,770.73,14.263,51.95,28.563,-80.577
46.722,770.52,14.267,51.956,28.563,-80.577
46.725,770.307,14.27,51.963,28.563,-80.577
46.728,770.087,14.274,51.97,28.563,-80.577
46.73,769.861,14.277,51.977,28.563,-80.577
46.733,769.629,14.281,51.984,28.563,-80.577
46.736,769.391,14.284,51.991,28.563,-80.577
46.739,769.147,14.287,51.998,28.563,-80.577
46.742,768.896,14.291,52.005,28.563,-80.577
46.745,768.64,14.294,52.012,28.563,-80.577
46.748,768.378,14.297,52.018,28.563,-80.577
46.751,768.11,14.3,52.025,28.563,-80.577
46.754,767.837,14.303,52.031,28.563,-80.577
46.758,767.559,14.306,52.038,28.563,-80.577
46.761,767.275,14.308,52.044,28.563,-80.577
46.765,766.988,14.311,52.05,28.563,-80.577
46.768,766.697,14.313,52.055,28.563,-80.577
46.772,766.402,14.315,52.061,28.563,-80.577
46.775,766.103,14.317,52.066,28.563,-80.577
46.779,765.801,14.319,52.071,28.563,-80.577
46.783,765.495,14.32,52.075,28.563,-80.577
46.786,765.187,14.321,52.08,28.563,-80.577
46.79,764.876,14.322,52.084,28.563,-80.577
46.794,764.563,14.323,52.087,28.563,-80.577
46.798,764.247,14.324,52.091,28.563,-80.577
46.802,763.927,14.324,52.094,28.563,-80.577
46.806,763.601,14.324,52.096,28.563,-80.577
46.81,763.267,14.324,52.099,28.563,-80.577
46.814,762.923,14.324,52.101,28.563,-80.577
46.818,762.569,14.323,52.102,28.563,-80.577
46.823,762.2,14.322,52.103,28.563,-80.577
46.827,761.815,14.32,52.104,28.563,-80.577
46.832,761.411,14.318,52.104,28.563,-80.577
46.838,760.984,14.316,52.104,28.563,-80.577
46.843,760.532,14.312,52.102,28.563,-80.577
46.849,760.048,14.309,52.1,28.563,-80.577
46.855,759.53,14.304,52.097,28.563,-80.577
46.862,758.975,14.298,52.092,28.563,-80.577
46.866,758.68,14.295,52.09,28.563,-80.577
46.87,758.378,14.292,52.088,28.563,-80.577
46.873,758.068,14.289,52.086,28.563,-80.577
46.877,757.748,14.287,52.085,28.563,-80.577
46.881,757.418,14.285,52.084,28.563,-80.577
46.886,757.079,14.283,52.084,28.563,-80.577
46.89,756.732,14.281,52.084,28.563,-80.577
46.894,756.376,14.28,52.085,28.563,-80.577
46.899,756.012,14.279,52.087,28.563,-80.577
46.903,755.642,14.279,52.089,28.563,-80.577
46.908,755.265,14.279,52.092,28.563,-80.577
46.913,754.883,14.28,52.095,28.563,-80.577
46.918,754.497,14.281,52.1,28.563,-80.577
46.922,754.107,14.282,52.105,28.563,-80.577
46.927,753.715,14.284,52.111,28.563,-80.577
46.932,753.322,14.286,52.116,28.563,-80.577
46.937,752.906,14.288,52.122,28.563,-80.577
46.942,752.525,14.289,52.127,28.563,-80.577
46.948,752.053,14.291,52.134,28.563,-80.577
46.954,751.555,14.293,52.14,28.563,-80.577
46.959,751.139,14.294,52.146,28.563,-80.577
46.964,750.737,14.296,52.152,28.563,-80.577
46.969,750.358,14.298,52.157,28.563,-80.577
46.974,749.968,14.3,52.163,28.563,-80.577
46.979,749.572,14.302,52.169,28.563,-80.577
46.984,749.179,14.304,52.175,28.563,-80.577
46.989,748.794,14.307,52.182,28.563,-80.577
46.993,748.412,14.309,52.188,28.563,-80.577
46.998,748.011,14.311,52.195,28.563,-80.577
47.004,747.588,14.314,52.202,28.563,-80.577
47.009,747.148,14.317,52.209,28.563,-80.577
47.015,746.706,14.319,52.216,28.563,-80.577
47.021,746.208,14.322,52.224,28.563,-80.577
47.028,745.692,14.325,52.233,28.563,-80.577
47.034,745.191,14.328,52.241,28.563,-80.577
47.041,744.666,14.331,52.249,28.563,-80.577
47.047,744.151,14.334,52.257,28.563,-80.577
47.053,743.688,14.337,52.265,28.563,-80.577
47.058,743.303,14.339,52.271,28.563,-80.577
47.063,742.907,14.342,52.278,28.563,-80.577
47.068,742.511,14.345,52.285,28.563,-80.577
47.073,742.102,14.348,52.292,28.563,-80.577
47.078,741.697,14.351,52.299,28.563,-80.577
47.083,741.309,14.354,52.307,28.563,-80.577
47.088,740.92,14.357,52.314,28.563,-80.577
47.093,740.53,14.36,52.322,28.563,-80.577
47.098,740.141,14.364,52.329,28.563,-80.577
47.103,739.752,14.367,52.337,28.563,-80.577
47.108,739.363,14.37,52.345,28.563,-80.577
47.113,738.967,14.374,52.353,28.563,-80.577
47.118,738.565,14.377,52.361,28.563,-80.577
47.123,738.159,14.381,52.369,28.563,-80.577
47.13,737.631,14.386,52.38,28.563,-80.577
47.137,737.097,14.391,52.392,28.563,-80.577
47.143,736.64,14.395,52.401,28.563,-80.577
47.148,736.248,14.399,52.41,28.563,-80.577
47.153,735.856,14.403,52.418,28.563,-80.577
47.159,735.385,14.407,52.429,28.563,-80.577
47.165,734.944,14.412,52.439,28.563,-80.577
47.17,734.506,14.416,52.448,28.563,-80.577
47.176,734.071,14.421,52.458,28.563,-80.577
47.181,733.636,14.425,52.468,28.563,-80.577
47.187,733.201,14.43,52.478,28.563,-80.577
47.193,732.765,14.435,52.488,28.563,-80.577
47.198,732.328,14.439,52.498,28.563,-80.577
47.204,731.891,14.444,52.508,28.563,-80.577
47.21,731.422,14.449,52.52,28.563,-80.577
47.217,730.89,14.456,52.533,28.563,-80.577
47.223,730.439,14.461,52.544,28.563,-80.577
47.229,729.996,14.467,52.556,28.563,-80.577
47.234,729.554,14.472,52.567,28.563,-80.577
47.24,729.111,14.478,52.579,28.563,-80.577
47.246,728.664,14.483,52.591,28.563,-80.577
47.252,728.205,14.49,52.603,28.563,-80.577
47.257,727.809,14.495,52.613,28.563,-80.577
47.262,727.407,14.5,52.624,28.563,-80.577
47.269,726.913,14.506,52.637,28.563,-80.577
47.276,726.375,14.513,52.651,28.563,-80.577
47.283,725.835,14.52,52.665,28.563,-80.577
47.289,725.342,14.527,52.678,28.563,-80.577
47.295,724.898,14.532,52.69,28.563,-80.577
47.301,724.422,14.538,52.702,28.563,-80.577
47.308,723.938,14.544,52.715,28.563,-80.577
47.314,723.471,14.55,52.727,28.563,-80.577
47.32,723.015,14.556,52.739,28.563,-80.577
47.326,722.568,14.562,52.751,28.563,-80.577
47.332,722.126,14.568,52.763,28.563,-80.577
47.337,721.689,14.574,52.774,28.563,-80.577
47.343,721.253,14.58,52.786,28.563,-80.577
47.349,720.821,14.586,52.798,28.563,-80.577
47.355,720.388,14.592,52.81,28.563,-80.577
47.362,719.844,14.599,52.825,28.563,-80.577
47.368,719.348,14.606,52.839,28.563,-80.577
47.375,718.87,14.613,52.852,28.563,-80.577
47.381,718.387,14.619,52.866,28.563,-80.577
47.388,717.884,14.626,52.88,28.563,-80.577
47.395,717.328,14.634,52.895,28.563,-80.577
47.402,716.812,14.641,52.91,28.563,-80.577
47.408,716.391,14.647,52.922,28.563,-80.577
47.413,715.962,14.654,52.934,28.563,-80.577
47.42,715.474,14.661,52.948,28.563,-80.577
47.427,714.926,14.67,52.965,28.563,-80.577
47.434,714.39,14.678,52.981,28.563,-80.577
47.442,713.825,14.687,52.998,28.563,-80.577
47.448,713.393,14.694,53.012,28.563,-80.577
47.453,712.986,14.701,53.025,28.563,-80.577
47.459,712.577,14.708,53.038,28.563,-80.577
47.464,712.164,14.715,53.051,28.563,-80.577
47.47,711.75,14.722,53.065,28.563,-80.577
47.475,711.332,14.729,53.078,28.563,-80.577
47.481,710.914,14.736,53.092,28.563,-80.577
47.487,710.494,14.744,53.105,28.563,-80.577
47.492,710.075,14.751,53.119,28.563,-80.577
47.498,709.654,14.759,53.133,28.563,-80.577
47.504,709.233,14.766,53.147,28.563,-80.577
47.51,708.792,14.774,53.161,28.563,-80.577
47.516,708.346,14.781,53.176,28.563,-80.577
47.522,707.87,14.789,53.191,28.563,-80.577
47.528,707.427,14.797,53.205,28.563,-80.577
47.534,707.009,14.804,53.218,28.563,-80.577
47.54,706.59,14.81,53.231,28.563,-80.577
47.545,706.173,14.817,53.244,28.563,-80.577
47.551,705.757,14.824,53.257,28.563,-80.577
47.557,705.316,14.831,53.271,28.563,-80.577
47.563,704.893,14.839,53.285,28.563,-80.577
47.569,704.437,14.847,53.3,28.563,-80.577
47.577,703.868,14.857,53.319,28.563,-80.577
47.583,703.393,14.866,53.336,28.563,-80.577
47.59,702.882,14.876,53.354,28.563,-80.577
47.597,702.338,14.887,53.373,28.563,-80.577
47.604,701.871,14.896,53.39,28.563,-80.577
47.61,701.453,14.904,53.405,28.563,-80.577
47.617,700.882,14.915,53.425,28.563,-80.577
47.625,700.333,14.925,53.444,28.563,-80.577
47.631,699.905,14.933,53.459,28.563,-80.577
47.637,699.475,14.941,53.474,28.563,-80.577
47.643,699.036,14.949,53.489,28.563,-80.577
47.65,698.529,14.958,53.505,28.563,-80.577
47.656,698.05,14.966,53.521,28.563,-80.577
47.662,697.615,14.974,53.536,28.563,-80.577
47.668,697.18,14.982,53.551,28.563,-80.577
47.674,696.743,14.991,53.567,28.563,-80.577
47.68,696.305,14.999,53.583,28.563,-80.577
47.686,695.866,15.008,53.599,28.563,-80.577
47.692,695.432,15.017,53.615,28.563,-80.577
47.698,694.995,15.026,53.631,28.563,-80.577
47.705,694.547,15.035,53.647,28.563,-80.577
47.711,694.1,15.044,53.664,28.563,-80.577
47.717,693.645,15.053,53.681,28.563,-80.577
47.725,693.066,15.065,53.703,28.563,-80.577
47.731,692.641,15.074,53.719,28.563,-80.577
47.737,692.213,15.083,53.735,28.563,-80.577
47.743,691.784,15.091,53.751,28.563,-80.577
47.749,691.354,15.1,53.767,28.563,-80.577
47.755,690.924,15.109,53.784,28.563,-80.577
47.761,690.497,15.118,53.8,28.563,-80.577
47.767,690.052,15.128,53.817,28.563,-80.577
47.773,689.607,15.137,53.834,28.563,-80.577
47.779,689.162,15.147,53.852,28.563,-80.577
47.786,688.718,15.157,53.87,28.563,-80.577
47.792,688.265,15.167,53.888,28.563,-80.577
47.798,687.816,15.178,53.906,28.563,-80.577
47.805,687.366,15.188,53.925,28.563,-80.577
47.811,686.928,15.198,53.943,28.563,-80.577
47.817,686.482,15.208,53.961,28.563,-80.577
47.823,686.034,15.218,53.979,28.563,-80.577
47.83,685.583,15.229,53.998,28.563,-80.577
47.836,685.132,15.239,54.016,28.563,-80.577
47.842,684.678,15.25,54.035,28.563,-80.577
47.849,684.225,15.26,54.054,28.563,-80.577
47.855,683.771,15.271,54.073,28.563,-80.577
47.861,683.318,15.281,54.092,28.563,-80.577
47.868,682.85,15.292,54.111,28.563,-80.577
47.874,682.418,15.302,54.129,28.563,-80.577
47.88,681.984,15.312,54.147,28.563,-80.577
47.886,681.544,15.323,54.165,28.563,-80.577
47.893,681.099,15.333,54.184,28.563,-80.577
47.899,680.648,15.344,54.203,28.563,-80.577
47.906,680.192,15.354,54.222,28.563,-80.577
47.912,679.743,15.365,54.241,28.563,-80.577
47.918,679.3,15.376,54.259,28.563,-80.577
47.924,678.859,15.386,54.278,28.563,-80.577
47.931,678.421,15.397,54.297,28.563,-80.577
47.937,677.983,15.407,54.315,28.563,-80.577
47.943,677.546,15.418,54.334,28.563,-80.577
47.949,677.11,15.429,54.353,28.563,-80.577
47.956,676.675,15.439,54.372,28.563,-80.577
47.962,676.241,15.45,54.391,28.563,-80.577
47.968,675.807,15.461,54.41,28.563,-80.577
47.974,675.372,15.472,54.429,28.563,-80.577
47.98,674.935,15.483,54.448,28.563,-80.577
47.987,674.499,15.494,54.467,28.563,-80.577
47.993,674.062,15.505,54.487,28.563,-80.577
47.999,673.624,15.516,54.506,28.563,-80.577
48.005,673.186,15.527,54.526,28.563,-80.577
48.012,672.747,15.538,54.546,28.563,-80.577
48.018,672.309,15.549,54.566,28.563,-80.577
48.024,671.872,15.561,54.586,28.563,-80.577
48.031,671.434,15.572,54.606,28.563,-80.577
48.037,670.995,15.584,54.626,28.563,-80.577
48.043,670.553,15.595,54.646,28.563,-80.577
48.05,670.109,15.607,54.667,28.563,-80.577
48.056,669.658,15.619,54.688,28.563,-80.577
48.063,669.158,15.633,54.712,28.563,-80.577
48.071,668.631,15.647,54.736,28.563,-80.577
48.079,668.089,15.662,54.762,28.563,-80.577
48.087,667.539,15.677,54.788,28.563,-80.577
48.095,666.984,15.692,54.815,28.563,-80.577
48.103,666.425,15.708,54.842,28.563,-80.577
48.111,665.839,15.724,54.87,28.563,-80.577
48.119,665.297,15.739,54.896,28.563,-80.577
48.126,664.791,15.753,54.92,28.563,-80.577
48.133,664.312,15.766,54.943,28.563,-80.577
48.14,663.85,15.779,54.966,28.563,-80.577
48.147,663.397,15.792,54.988,28.563,-80.577
48.153,662.948,15.804,55.01,28.563,-80.577
48.16,662.502,15.817,55.031,28.563,-80.577
48.167,662.004,15.831,55.056,28.563,-80.577
48.174,661.497,15.846,55.081,28.563,-80.577
48.182,660.965,15.862,55.107,28.563,-80.577
48.189,660.499,15.875,55.13,28.563,-80.577
48.196,660.036,15.889,55.153,28.563,-80.577
48.202,659.568,15.902,55.177,28.563,-80.577
48.209,659.111,15.916,55.2,28.563,-80.577
48.216,658.619,15.93,55.225,28.563,-80.577
48.224,658.117,15.945,55.25,28.563,-80.577
48.231,657.612,15.96,55.275,28.563,-80.577
48.238,657.108,15.975,55.301,28.563,-80.577
48.246,656.602,15.99,55.327,28.563,-80.577
48.253,656.096,16.005,55.352,28.563,-80.577
48.261,655.597,16.02,55.378,28.563,-80.577
48.268,655.099,16.035,55.403,28.563,-80.577
48.275,654.597,16.05,55.429,28.563,-80.577
48.283,654.076,16.065,55.456,28.563,-80.577
48.291,653.528,16.082,55.484,28.563,-80.577
48.299,652.972,16.098,55.513,28.563,-80.577
48.307,652.411,16.115,55.541,28.563,-80.577
48.317,651.796,16.134,55.574,28.563,-80.577
48.326,651.171,16.153,55.607,28.563,-80.577
48.333,650.716,16.168,55.632,28.563,-80.577
48.339,650.265,16.182,55.656,28.563,-80.577
48.346,649.81,16.197,55.682,28.563,-80.577
48.353,649.349,16.212,55.707,28.563,-80.577
48.362,648.73,16.232,55.741,28.563,-80.577
48.369,648.249,16.247,55.767,28.563,-80.577
48.378,647.676,16.265,55.798,28.563,-80.577
48.386,647.112,16.283,55.828,28.563,-80.577
48.395,646.519,16.301,55.86,28.563,-80.577
48.403,646.001,16.317,55.887,28.563,-80.577
48.409,645.546,16.331,55.911,28.563,-80.577
48.417,645.013,16.348,55.939,28.563,-80.577
48.427,644.387,16.368,55.973,28.563,-80.577
48.435,643.808,16.386,56.005,28.563,-80.577
48.442,643.348,16.401,56.031,28.563,-80.577
48.449,642.888,16.417,56.057,28.563,-80.577
48.456,642.429,16.432,56.083,28.563,-80.577
48.463,641.97,16.447,56.109,28.563,-80.577
48.47,641.51,16.463,56.135,28.563,-80.577
